,city_id,city_name,hotel id,hotel name,hotel url,latitude,longitude,score,description
0,33,Bayonne,0, Hôtel Le Bayonne ,https://www.booking.com/hotel/fr/le-bayonne-ha-tel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4850261989896,-1.47537052631378,8.1," Installé dans le centre-ville de Bayonne, en Aquitaine, l'Hôtel Le Bayonne vous propose une piscine extérieure chauffée ouverte en saison ainsi qu'un hammam. "
1,33,Bayonne,1, ibis budget Bayonne ,https://www.booking.com/hotel/fr/ibis-budget-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4890826186388,-1.45717808612972,7.7, L'hôtel ibis budget Bayonne est situé à 2 km du centre historique de Bayonne et de sa gare ferroviaire ainsi qu'à 8 km des plages. 
2,33,Bayonne,2, Okko Hotels Bayonne Centre ,https://www.booking.com/hotel/fr/okko-hotels-bayonne-centre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4953443,-1.4825118,8.8," Situé à Bayonne, à seulement 700 mètres du centre-ville et de la cathédrale Sainte-Marie de Bayonne, l’Okko Hotels Bayonne Centre vous propose des chambres climatisées avec une connexion Wi-Fi... "
3,33,Bayonne,3, Hotel Cote Basque ,https://www.booking.com/hotel/fr/cote-basque.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4961830648043,-1.46960109472275,8.1," L'Hotel Cote Basque est situé au cœur de la ville historique de Bayonne, en face du pont Saint-Esprit. Il propose une connexion Wi-Fi gratuite et des chambres avec salle de bains privative. "
4,33,Bayonne,4, Hôtel Villa KOEGUI Bayonne ,https://www.booking.com/hotel/fr/villa-koegui-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.492371,-1.472588,8.9," Doté d’un bar, d’un restaurant, d’une terrasse, d’un salon commun et d’une salle de sport, l’Hôtel Villa KOEGUI Bayonne propose des hébergements à Bayonne. "
5,33,Bayonne,5, Premiere Classe Bayonne ,https://www.booking.com/hotel/fr/premiere-classe-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4904895943339,-1.45203530788422,6.1," Situé à 5 minutes du centre-ville ainsi qu'à seulement 10 minutes de la plage, le Premiere Classe Bayonne est facilement accessible depuis les autoroutes A63 et A64 (sortie 6). "
6,33,Bayonne,6, ibis Bayonne Centre ,https://www.booking.com/hotel/fr/ibis-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.492713,-1.465659,7.9," Situé à 5 minutes à pied du centre de Bayonne, l'ibis Bayonne Centre se trouve sur les rives de l'Adour, à seulement 600 mètres de la gare ferroviaire, et propose une terrasse meublée. "
7,33,Bayonne,7, Temporesidence Cathedrale ,https://www.booking.com/hotel/fr/temporesidence-cathedrale.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4895419276991,-1.47812448441982,8.2," Situé à Bayonne, le Temporesidence Cathedrale est à seulement 2,5 km de la gare et à 6 km de Biarritz. Il propose des appartements et des studios spacieux avec une kitchenette entièrement équipée. "
8,33,Bayonne,8, Hotel Loreak ,https://www.booking.com/hotel/fr/comfort-bayonne-biarritz.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4934910891873,-1.45263344049454,8.1," Installé à 2 km du centre-ville de Bayonne, l’Hotel Loreak propose des hébergements avec une salle de bains privative, une connexion Wi-Fi gratuite et une télévision à écran plat. "
9,33,Bayonne,9, B&B Hôtel Bayonne ,https://www.booking.com/hotel/fr/b-amp-b-bayonne.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQrIAUjYAQHoAQH4AQKIAgGoAgO4Aryrqf0FwAIB0gIkYWJiOGRlODgtMDdmMy00NDg5LTg4MTEtNGQxNjc2YmEyZDY02AIF4AIB&sid=c6d35c26d1bc61a9868c25e078d5288f&dest_id=-1410844&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1604998590&srpvid=3ce33edec3570043&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,43.4645147,-1.49596529999997,7.3," Situé à Bayonne, à seulement 3 km de l'aéroport de Biarritz, le B&B Hôtel Bayonne propose des hébergements insonorisés, une connexion Wi-Fi gratuite et un parking privé sur place disponible à titre... "
